홈플레이트 (0,0,0), 공 시작 (0, 18.44, 33.55) : z 좌표 마운드 평균 높이 31.75 + 투수 키 1.8

1. 속도 비율 x 방향 0.03, y 방향 0.95, z 방향 0.02 최종 속력
155km/h
(4.35, 13.04, 37.44)
(5.08, 12.14, 37.75)
(5.81, 11.24, 37.95)
(6.53, 10.34, 38.06)
(7.26, 9.44, 38.07)
(7.98, 8.55, 37.99)
(8.71, 7.65, 37.80)
(9.43, 6.75, 37.52)
(10.16, 5.85, 37.14)
(10.89, 4.95, 36.66)
(11.61, 4.05, 36.08)
(12.34, 3.15, 35.41)
(13.06, 2.25, 34.64)
(13.79, 1.35, 33.77)
(14.51, 0.45, 32.80)
(15.24, -0.45, 31.73)
(15.97, -1.35, 30.57)
(16.69, -2.25, 29.30)
(17.42, -3.15, 27.94)
(18.14, -4.05, 26.49)
(18.87, -4.95, 24.93)
(19.59, -5.85, 23.27)
(20.32, -6.75, 21.52)
(21.05, -7.65, 19.67)
(21.77, -8.55, 17.72)
(22.50, -9.44, 15.68)
(23.22, -10.34, 13.53)
(23.95, -11.24, 11.29)
(24.67, -12.14, 8.95)
